attribution_evaluable,data_seed,eligible_examples,eligible_pairs,examples,full_accuracy,intervention,intervention_accuracy,optimization_seed,panel_full_accuracy,scenario,targeted_drop
True,16301,8,4,8,1.0,no_action,0.0,12011,1.0,geodesic_action,1.0
True,16301,8,4,8,1.0,no_cone,0.0,12011,1.0,finite_speed_cone,1.0
True,16301,6,3,8,1.0,no_boundary,0.0,12011,0.875,boundary_deficit,1.0
True,16301,8,4,8,1.0,no_transport,0.0,12011,1.0,payload_transport,1.0
True,16301,8,4,8,1.0,no_terminal_mass,0.0,12011,1.0,terminal_mass,1.0
True,16301,8,4,8,1.0,no_memory_geometry,0.125,12011,1.0,memory_source_condition,0.875
True,16301,26,13,28,1.0,shuffled_geometry,0.9230769230769231,12011,0.9642857142857143,all,0.07692307692307687
True,16301,26,13,28,1.0,random_geometry,0.3076923076923077,12011,0.9642857142857143,all,0.6923076923076923
True,16301,26,13,28,1.0,no_phi,0.5384615384615384,12011,0.9642857142857143,all,0.46153846153846156
True,16301,26,13,28,1.0,no_event_backreaction,1.0,12011,0.9642857142857143,all,0.0
True,16301,26,13,28,1.0,direct_world_gate,0.5769230769230769,12011,0.9642857142857143,all,0.42307692307692313
True,16301,26,13,28,1.0,no_multiscale_backbone,0.9230769230769231,12011,0.9642857142857143,all,0.07692307692307687
True,16301,26,13,28,1.0,no_world_transitions,1.0,12011,0.9642857142857143,all,0.0
True,16301,26,13,28,1.0,only_world_0,0.0,12011,0.9642857142857143,all,1.0
True,16301,26,13,28,1.0,only_world_1,0.0,12011,0.9642857142857143,all,1.0
True,16301,26,13,28,1.0,only_world_2,0.0,12011,0.9642857142857143,all,1.0
True,16301,26,13,28,1.0,only_world_3,0.0,12011,0.9642857142857143,all,1.0
True,16301,26,13,28,1.0,only_world_4,0.0,12011,0.9642857142857143,all,1.0
True,16301,26,13,28,1.0,only_world_5,0.0,12011,0.9642857142857143,all,1.0
True,16301,26,13,28,1.0,only_world_6,0.0,12011,0.9642857142857143,all,1.0
True,16301,26,13,28,1.0,only_world_7,0.0,12011,0.9642857142857143,all,1.0
