attribution_evaluable,data_seed,eligible_examples,eligible_pairs,examples,full_accuracy,intervention,intervention_accuracy,mechanism_shard,optimization_seed,panel_full_accuracy,scenario,selection_split,targeted_drop
True,16301,4,2,4,1.0,no_action,0.0,shard_0,12011,1.0,geodesic_action,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_cone,0.0,shard_0,12011,1.0,finite_speed_cone,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_boundary,0.0,shard_0,12011,1.0,boundary_deficit,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_transport,0.0,shard_0,12011,1.0,payload_transport,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_terminal_mass,0.0,shard_0,12011,1.0,terminal_mass,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_memory_geometry,0.0,shard_0,12011,1.0,memory_source_condition,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_action,0.0,shard_1,12011,1.0,geodesic_action,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_cone,0.0,shard_1,12011,1.0,finite_speed_cone,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_boundary,0.0,shard_1,12011,1.0,boundary_deficit,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_transport,0.0,shard_1,12011,1.0,payload_transport,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_terminal_mass,0.0,shard_1,12011,1.0,terminal_mass,frozen_mechanism_shard,1.0
True,16301,4,2,4,1.0,no_memory_geometry,0.0,shard_1,12011,1.0,memory_source_condition,frozen_mechanism_shard,1.0
