abstention_rate,accuracy,boundary_exact,candidate_exact,cohort,counterfactual_pair_exact,curvature_gradient_mean_abs,curvature_proxy_mean,curvature_proxy_negative_fraction,data_seed,effective_action_mae,effective_batch_size,event_chain_exact,event_selection_overflow_rate,event_spectral_effective_rank,event_spectral_entropy,event_spectral_gap,event_spectral_world_diversity,event_world_direct_path_coverage,event_world_path_coverage,examples,geodesic_closure_non_degradation_rate,inference_seconds,measured_action_accuracy,measured_boundary_accuracy,measured_cone_accuracy,measured_event_exact,measured_terminal_accuracy,measured_transport_accuracy,model,optimization_seed,payload_conservation_residual,program_event_precision,program_event_recall,selected_event_recall,source_accuracy,supported_accuracy,typed_conservation_residual,unsupported_error_rate,unsupported_examples,world_geometry_diversity,world_usage_entropy
0.0967741935483871,1.0,1.0,1.0,train_id,1.0,0.035882933996617794,-0.9382409900426865,0.8271813318133354,16301,0.01755290550570334,8.0,1.0,0.0,1.0,7.45432043371584e-16,2.0,0.0,1.0,1.0,62.0,1.0,1.9685885579997375,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,0.6400974094867706,0.7013826370239258
0.0967741935483871,1.0,,,train_id,1.0,,,,16301,,,,,,,,,,,62.0,,0.06542567199994664,,,,,,,direct_transformer,12011,,,,,,1.0,,0.0,6.0,,
0.0,1.0,1.0,1.0,validation,1.0,0.03602828343327229,-0.9191810351151687,0.7933681698945853,16301,0.013295776989995216,8.0,1.0,0.0,1.0,6.277341604826083e-16,2.0,0.0,1.0,1.0,98.0,1.0,2.9096588590000465,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.624642537190364,0.7066022616166335
0.02040816326530612,0.4897959183673469,,,validation,0.2857142857142857,,,,16301,,,,,,,,,,,98.0,,0.10232873899985861,,,,,,,direct_transformer,12011,,,,,,0.4897959183673469,,0.0,0.0,,
0.0,1.0,1.0,1.0,hop_4,1.0,0.019084672842706953,-0.9563092078481402,0.8565739818981716,16301,0.00510518705206258,8.0,1.0,0.0,4.558756385530744,0.6398002420152936,0.3318716883659363,0.2503334241253989,1.0,1.0,56.0,1.0,1.90328426699989,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.641552380153111,0.7044791664396014
0.10714285714285714,0.44642857142857145,,,hop_4,0.0,,,,16301,,,,,,,,,,,56.0,,0.07039725399999952,,,,,,,direct_transformer,12011,,,,,,0.44642857142857145,,0.0,0.0,,
0.0,1.0,1.0,1.0,hop_8,1.0,0.013370200858584471,-0.9646031601088387,0.8769361291612897,16301,0.005185840651392937,8.0,1.0,0.0,9.559886659894671,0.721798198563712,0.3034196325710842,0.3043081930705479,1.0,1.0,56.0,1.0,2.6578172540002925,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6535933017730713,0.7069545132773263
0.32142857142857145,0.3392857142857143,,,hop_8,0.0,,,,16301,,,,,,,,,,,56.0,,0.102276582000286,,,,,,,direct_transformer,12011,,,,,,0.3392857142857143,,0.0,0.0,,
0.0,1.0,1.0,1.0,hop_12,1.0,0.012982806456940514,-0.9655937382153102,0.8820941277912685,16301,0.01946296782365867,8.0,1.0,0.0,17.976293563842773,0.8678398472922189,0.3224454138960157,0.39919707604816984,0.9895833333333333,1.0,56.0,1.0,4.326532195999789,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6580147913524083,0.7238400323050362
0.0,0.5,,,hop_12,0.0,,,,16301,,,,,,,,,,,56.0,,0.09176045699996394,,,,,,,direct_transformer,12011,,,,,,0.5,,0.0,0.0,,
0.0,1.0,1.0,1.0,hop_16,1.0,0.01336758996226958,-0.9682372382708958,0.8904550841876439,16301,0.04645612087499883,8.0,1.0,0.0,26.42443765912737,0.9355159231594631,0.22596465264047896,0.39195054343768526,0.9341517857142857,1.0,56.0,1.0,5.718140795000181,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6597007513046265,0.7403428980282375
0.0,0.5178571428571429,,,hop_16,0.03571428571428571,,,,16301,,,,,,,,,,,56.0,,0.11357407500008776,,,,,,,direct_transformer,12011,,,,,,0.5178571428571429,,0.0,0.0,,
0.07142857142857142,0.9107142857142857,0.8214285714285714,1.0,hop_24,0.8214285714285714,0.012198151754481452,-0.9684184108461652,0.8800362263407026,16301,0.061465036833570116,8.0,1.0,0.0,42.48994772774832,0.9663455315998623,0.0936112031340599,0.28873035311698914,0.759672619047619,1.0,56.0,1.0,10.568955569000082,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,0.9107142857142857,0.0,0.0,0.0,0.6544809937477112,0.7762366618428912
0.0,0.5,,,hop_24,0.0,,,,16301,,,,,,,,,,,56.0,,0.1703598880003483,,,,,,,direct_transformer,12011,,,,,,0.5,,0.0,0.0,,
0.21428571428571427,0.7857142857142857,0.7142857142857143,1.0,hop_32,0.7142857142857143,0.013000302870447436,-0.9711616237958273,0.8940204580624899,16301,0.05745054809709212,5.0,1.0,0.0,57.3627077738444,0.972146525979042,0.028257887267197173,0.41152796770135563,0.6397879464285714,1.0,56.0,1.0,16.18078818799995,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,0.7857142857142857,0.0,0.0,0.0,0.6530675739049911,0.7831119497617086
