accuracy,cohort,counterfactual_pair_exact,data_seed,inference_seconds,model,optimization_seed,supported_accuracy
1.0,context_128_hop_4,1.0,16301,1.3314197069998954,ERGT Geometric Model,12011,1.0
0.4,context_128_hop_4,0.1,16301,0.04306669500010685,Direct Transformer Baseline,12011,0.4
1.0,context_256_hop_4,1.0,16301,1.773009729000023,ERGT Geometric Model,12011,1.0
0.575,context_256_hop_4,0.25,16301,0.07347726599982707,Direct Transformer Baseline,12011,0.575
0.45,context_512_hop_4,0.4,16301,3.334653220999826,ERGT Geometric Model,12011,0.45
0.525,context_512_hop_4,0.05,16301,0.0896252560000903,Direct Transformer Baseline,12011,0.525
0.675,context_768_hop_4,0.45,16301,6.064482283999951,ERGT Geometric Model,12011,0.675
0.525,context_768_hop_4,0.05,16301,0.21146947800025373,Direct Transformer Baseline,12011,0.525
0.9,context_512_hop_24,0.8,16301,7.475505061999684,ERGT Geometric Model,12011,0.9
0.475,context_512_hop_24,0.0,16301,0.12541099500003838,Direct Transformer Baseline,12011,0.475
1.0,context_768_hop_24,1.0,16301,12.935631925000052,ERGT Geometric Model,12011,1.0
0.5,context_768_hop_24,0.0,16301,0.3212313490002998,Direct Transformer Baseline,12011,0.5
