attribution_evaluable,data_seed,eligible_pairs,full_accuracy,intervention,intervention_accuracy,mechanism_shard,optimization_seed,panel,panel_full_accuracy,scenario,targeted_drop
True,16301,2,1.0,no_action,0.0,shard_0,12011,checkpoint_selection,1.0,geodesic_action,1.0
True,16301,2,1.0,no_cone,0.0,shard_0,12011,checkpoint_selection,1.0,finite_speed_cone,1.0
True,16301,2,1.0,no_boundary,0.0,shard_0,12011,checkpoint_selection,1.0,boundary_deficit,1.0
True,16301,2,1.0,no_transport,0.0,shard_0,12011,checkpoint_selection,1.0,payload_transport,1.0
True,16301,2,1.0,no_terminal_mass,0.0,shard_0,12011,checkpoint_selection,1.0,terminal_mass,1.0
True,16301,2,1.0,no_memory_geometry,0.0,shard_0,12011,checkpoint_selection,1.0,memory_source_condition,1.0
True,16301,2,1.0,no_action,0.0,shard_1,12011,checkpoint_selection,1.0,geodesic_action,1.0
True,16301,2,1.0,no_cone,0.0,shard_1,12011,checkpoint_selection,1.0,finite_speed_cone,1.0
True,16301,2,1.0,no_boundary,0.0,shard_1,12011,checkpoint_selection,1.0,boundary_deficit,1.0
True,16301,2,1.0,no_transport,0.0,shard_1,12011,checkpoint_selection,1.0,payload_transport,1.0
True,16301,2,1.0,no_terminal_mass,0.0,shard_1,12011,checkpoint_selection,1.0,terminal_mass,1.0
True,16301,2,1.0,no_memory_geometry,0.0,shard_1,12011,checkpoint_selection,1.0,memory_source_condition,1.0
True,16301,4,1.0,no_action,0.0,,12011,heldout_final,1.0,geodesic_action,1.0
True,16301,4,1.0,no_cone,0.0,,12011,heldout_final,1.0,finite_speed_cone,1.0
True,16301,3,1.0,no_boundary,0.0,,12011,heldout_final,0.875,boundary_deficit,1.0
True,16301,4,1.0,no_transport,0.0,,12011,heldout_final,1.0,payload_transport,1.0
True,16301,4,1.0,no_terminal_mass,0.0,,12011,heldout_final,1.0,terminal_mass,1.0
True,16301,4,1.0,no_memory_geometry,0.125,,12011,heldout_final,1.0,memory_source_condition,0.875
