aggregation,attribution_evaluable,control_family,data_seed,eligible_pairs,evaluable_seed_count,full_accuracy,intervention,intervention_accuracy,optimization_seed,panel_full_accuracy,scenario,targeted_drop,total_seed_count
mean_across_seeds,True,geometric_component_ablation,mean,13,1,1.0,direct_world_gate,0.5769230769230769,mean,0.9642857142857143,all,0.42307692307692313,1
mean_across_seeds,True,geometric_component_ablation,mean,13,1,1.0,no_event_backreaction,1.0,mean,0.9642857142857143,all,0.0,1
mean_across_seeds,True,geometric_component_ablation,mean,13,1,1.0,no_multiscale_backbone,0.9230769230769231,mean,0.9642857142857143,all,0.07692307692307687,1
mean_across_seeds,True,geometric_component_ablation,mean,13,1,1.0,no_phi,0.5384615384615384,mean,0.9642857142857143,all,0.46153846153846156,1
mean_across_seeds,True,geometric_component_ablation,mean,13,1,1.0,no_world_transitions,1.0,mean,0.9642857142857143,all,0.0,1
mean_across_seeds,True,single_world_restriction,mean,13,1,1.0,only_world_0,0.0,mean,0.9642857142857143,all,1.0,1
mean_across_seeds,True,single_world_restriction,mean,13,1,1.0,only_world_1,0.0,mean,0.9642857142857143,all,1.0,1
mean_across_seeds,True,single_world_restriction,mean,13,1,1.0,only_world_2,0.0,mean,0.9642857142857143,all,1.0,1
mean_across_seeds,True,single_world_restriction,mean,13,1,1.0,only_world_3,0.0,mean,0.9642857142857143,all,1.0,1
mean_across_seeds,True,single_world_restriction,mean,13,1,1.0,only_world_4,0.0,mean,0.9642857142857143,all,1.0,1
mean_across_seeds,True,single_world_restriction,mean,13,1,1.0,only_world_5,0.0,mean,0.9642857142857143,all,1.0,1
mean_across_seeds,True,single_world_restriction,mean,13,1,1.0,only_world_6,0.0,mean,0.9642857142857143,all,1.0,1
mean_across_seeds,True,single_world_restriction,mean,13,1,1.0,only_world_7,0.0,mean,0.9642857142857143,all,1.0,1
mean_across_seeds,True,geometry_randomization,mean,13,1,1.0,random_geometry,0.3076923076923077,mean,0.9642857142857143,all,0.6923076923076923,1
mean_across_seeds,True,geometry_randomization,mean,13,1,1.0,shuffled_geometry,0.9230769230769231,mean,0.9642857142857143,all,0.07692307692307687,1
per_seed,True,geometry_randomization,16301,13,,1.0,shuffled_geometry,0.9230769230769231,12011,0.9642857142857143,all,0.07692307692307687,
per_seed,True,geometry_randomization,16301,13,,1.0,random_geometry,0.3076923076923077,12011,0.9642857142857143,all,0.6923076923076923,
per_seed,True,geometric_component_ablation,16301,13,,1.0,no_phi,0.5384615384615384,12011,0.9642857142857143,all,0.46153846153846156,
per_seed,True,geometric_component_ablation,16301,13,,1.0,no_event_backreaction,1.0,12011,0.9642857142857143,all,0.0,
per_seed,True,geometric_component_ablation,16301,13,,1.0,direct_world_gate,0.5769230769230769,12011,0.9642857142857143,all,0.42307692307692313,
per_seed,True,geometric_component_ablation,16301,13,,1.0,no_multiscale_backbone,0.9230769230769231,12011,0.9642857142857143,all,0.07692307692307687,
per_seed,True,geometric_component_ablation,16301,13,,1.0,no_world_transitions,1.0,12011,0.9642857142857143,all,0.0,
per_seed,True,single_world_restriction,16301,13,,1.0,only_world_0,0.0,12011,0.9642857142857143,all,1.0,
per_seed,True,single_world_restriction,16301,13,,1.0,only_world_1,0.0,12011,0.9642857142857143,all,1.0,
per_seed,True,single_world_restriction,16301,13,,1.0,only_world_2,0.0,12011,0.9642857142857143,all,1.0,
per_seed,True,single_world_restriction,16301,13,,1.0,only_world_3,0.0,12011,0.9642857142857143,all,1.0,
per_seed,True,single_world_restriction,16301,13,,1.0,only_world_4,0.0,12011,0.9642857142857143,all,1.0,
per_seed,True,single_world_restriction,16301,13,,1.0,only_world_5,0.0,12011,0.9642857142857143,all,1.0,
per_seed,True,single_world_restriction,16301,13,,1.0,only_world_6,0.0,12011,0.9642857142857143,all,1.0,
per_seed,True,single_world_restriction,16301,13,,1.0,only_world_7,0.0,12011,0.9642857142857143,all,1.0,
