bootstrap_ci_high,bootstrap_ci_low,cohort,data_seed,hierarchical_data_seed_bootstrap,independent_data_replicates,mcnemar_exact_pvalue,mcnemar_native_only_correct,mcnemar_transformer_only_correct,native_minus_transformer_accuracy,optimization_seed,paired_counterfactual_clusters,paired_examples,statistical_unit_is_counterfactual_pair
0.625,0.5,hop_4,16301,0.0,1.0,7.450580596923828e-09,28.0,0.0,0.5535714285714286,12011,28.0,56.0,1.0
0.75,0.5714285714285714,hop_8,16301,0.0,1.0,7.450580596923828e-09,28.0,0.0,0.6607142857142857,12011,28.0,56.0,1.0
0.5,0.5,hop_12,16301,0.0,1.0,7.450580596923828e-09,28.0,0.0,0.5,12011,28.0,56.0,1.0
0.5,0.44642857142857145,hop_16,16301,0.0,1.0,1.4901161193847656e-08,27.0,0.0,0.48214285714285715,12011,28.0,56.0,1.0
0.48214285714285715,0.32142857142857145,hop_24,16301,0.0,1.0,2.384185791015625e-07,23.0,0.0,0.4107142857142857,12011,28.0,56.0,1.0
0.42857142857142855,0.16071428571428573,hop_32,16301,0.0,1.0,1.9073486328125e-06,20.0,0.0,0.30357142857142855,12011,28.0,56.0,1.0
0.725,0.475,context_128_hop_4,hierarchical,1.0,1.0,7.62939453125e-06,18.0,0.0,0.6,aggregate,20.0,40.0,1.0
0.55,0.3,context_256_hop_4,hierarchical,1.0,1.0,6.103515625e-05,15.0,0.0,0.425,aggregate,20.0,40.0,1.0
0.525,0.325,context_512_hop_24,hierarchical,1.0,1.0,3.0517578125e-05,16.0,0.0,0.425,aggregate,20.0,40.0,1.0
0.125,-0.275,context_512_hop_4,hierarchical,1.0,1.0,0.015625,7.0,0.0,-0.075,aggregate,20.0,40.0,1.0
0.5,0.5,context_768_hop_24,hierarchical,1.0,1.0,1.9073486328125e-06,20.0,0.0,0.5,aggregate,20.0,40.0,1.0
0.3,0.0,context_768_hop_4,hierarchical,1.0,1.0,0.0078125,8.0,0.0,0.15,aggregate,20.0,40.0,1.0
0.5,0.5,hop_12,hierarchical,1.0,1.0,7.450580596923828e-09,28.0,0.0,0.5,aggregate,28.0,56.0,1.0
0.5,0.44642857142857145,hop_16,hierarchical,1.0,1.0,1.4901161193847656e-08,27.0,0.0,0.48214285714285715,aggregate,28.0,56.0,1.0
0.4642857142857143,0.3392857142857143,hop_24,hierarchical,1.0,1.0,2.384185791015625e-07,23.0,0.0,0.4107142857142857,aggregate,28.0,56.0,1.0
0.42857142857142855,0.16071428571428573,hop_32,hierarchical,1.0,1.0,1.9073486328125e-06,20.0,0.0,0.30357142857142855,aggregate,28.0,56.0,1.0
0.625,0.5,hop_4,hierarchical,1.0,1.0,7.450580596923828e-09,28.0,0.0,0.5535714285714286,aggregate,28.0,56.0,1.0
0.75,0.5714285714285714,hop_8,hierarchical,1.0,1.0,7.450580596923828e-09,28.0,0.0,0.6607142857142857,aggregate,28.0,56.0,1.0
0.0,0.0,train_id,hierarchical,1.0,1.0,1.0,0.0,0.0,0.0,aggregate,31.0,62.0,1.0
1.0,1.0,unsupported_hop_16,hierarchical,1.0,1.0,0.0001220703125,14.0,0.0,1.0,aggregate,14.0,28.0,1.0
1.0,1.0,unsupported_hop_32,hierarchical,1.0,1.0,0.0001220703125,14.0,0.0,1.0,aggregate,14.0,28.0,1.0
1.0,0.7857142857142857,unsupported_hop_4,hierarchical,1.0,1.0,0.000244140625,13.0,0.0,0.9285714285714286,aggregate,14.0,28.0,1.0
0.6122448979591837,0.40816326530612246,validation,hierarchical,1.0,1.0,5.820766091346741e-11,35.0,0.0,0.5102040816326531,aggregate,49.0,98.0,1.0
0.0,0.0,hop_32,hierarchical,,,1.0,,,,matched_convergence_subset,,,
