candidate_id,data_seed,eligible_checkpoint,field_frozen_before_mechanism_selection,field_ready,field_ready_step,gradient_norm,id_tuning_pair_exact,id_tuning_supported_accuracy,loss_action_margin_loss,loss_answer,loss_answer_loss,loss_answer_weight,loss_auxiliary,loss_boundary_loss,loss_boundary_token_loss,loss_boundary_value,loss_bulk_boundary_loss,loss_candidate_loss,loss_causal_field_binding_loss,loss_conservation_loss,loss_entity,loss_entity_loss,loss_event_chain_binding_loss,loss_event_chain_coverage_loss,loss_event_chain_null_fibre_loss,loss_event_chain_positive_fibre_loss,loss_event_chain_worst_null_fibre_loss,loss_event_chain_worst_positive_fibre_loss,loss_event_relation_loss,loss_event_source_loss,loss_event_target_loss,loss_event_world_availability_loss,loss_geometry_diversity_loss,loss_geometry_edge_loss,loss_multiscale_chain_capacity_margin_loss,loss_multiscale_chain_cone_margin_loss,loss_multiscale_chain_mean_event_support_loss,loss_multiscale_chain_support_loss,loss_multiscale_chain_worst_event_support_loss,loss_pair_equivariance,loss_physical,loss_physical_action_loss,loss_physical_boundary_deficit_loss,loss_physical_cone_loss,loss_physical_effective_action_loss,loss_physical_teacher_loss,loss_physical_terminal_mass_loss,loss_physical_transmission_loss,loss_query_loss,loss_query_pointer_loss,loss_query_role,loss_registered_action_margin_loss,loss_registered_boundary_margin_loss,loss_registered_cone_margin_loss,loss_registered_local_action_cell_margin_loss,loss_registered_measurement_margin_loss,loss_registered_terminal_margin_loss,loss_registered_transport_margin_loss,loss_relation_anchor,loss_relation_loss,loss_relation_probability_mean,loss_role_routing_loss,loss_source_loss,loss_source_pointer,loss_structured_teacher_loss,loss_target_pointer,loss_teacher_weight,loss_total_loss,loss_unsupervised_physics_loss,loss_world_entropy_loss,mean_group_exposure,mechanism_tuning_complete,mechanism_tuning_evaluable,mechanism_tuning_min_panel_full_accuracy,mechanism_tuning_min_targeted_drop,mechanism_tuning_pass,mechanism_tuning_scenarios,mechanism_tuning_shards_expected,mechanism_tuning_shards_observed,mechanism_tuning_shards_passed,minimum_exposure_pass,minimum_group_exposure,model,optimization_seed,readiness_closure_non_degradation,readiness_effective_action_mae,readiness_event_chain_exact,readiness_hard_overflow_rate,readiness_measurement_min_accuracy,readiness_pair_exact,readiness_pass,readiness_path_coverage,readiness_program_event_precision,readiness_program_event_recall,readiness_streak,readiness_supported_accuracy,readiness_unsupported_error_rate,scheduled_teacher_weight,stable_streak,stable_window_pass,stage,stage_max_hop,step,strict_field_metrics_pass,teacher_weight,total_step,train_loss,tuning_accuracy,tuning_pair_exact,tuning_supported_accuracy,tuning_unsupported_error_rate,unseen_group_count,zero_teacher
,16301,,False,False,,5.260526657104492,0.0,0.1836734693877551,0.0,,3.3000402450561523,0.15000000596046448,,1.146052360534668,1.1647419929504395,,1.0439965724945068,8.930153846740723,0.4370240271091461,1.0128132998943329e-08,,1.12115478515625,0.9280661344528198,0.0,1.3376338481903076,0.5184984803199768,1.40602707862854,0.5431810617446899,1.3405089378356934,0.0,0.0,0.0,0.0,1.3255677223205566,0.3108701705932617,1.2025797367095947,0.7058862447738647,1.1006169319152832,1.836997151374817,,,0.19175562262535095,0.28071582317352295,0.7543580532073975,0.15643705427646637,0.5348683595657349,0.7297419309616089,0.7177701592445374,1.9593414068222046,0.7802567481994629,,0.6194580793380737,0.5140222311019897,0.2896198034286499,0.7020711898803711,0.4429018199443817,0.26592960953712463,0.2663100063800812,,5.8051323890686035,0.003543406492099166,0.0,9.719173431396484,,2.7743403911590576,,1.0,8.97767448425293,0.2087993174791336,0.0,0.015873015873015872,False,False,0.0,0.0,False,0,2,0,0,False,0,native_ergt,12011,1.0,0.2750580567364009,0.0,0.3392857142857143,0.8618843683083511,0.0,False,1.0,0.02699809314641097,0.1721513605442177,0,0.07142857142857142,0.0,1.0,0,False,,,1,False,1.0,,8.97767448425293,,,,,248,False
,16301,,False,False,,4.334010601043701,0.32653061224489793,0.32653061224489793,0.0,,0.22946402430534363,0.15000000596046448,,1.0326744318008423,1.0181384086608887,,0.39519989490509033,0.05437193065881729,0.06705405563116074,1.3731593639931816e-08,,0.2361060231924057,0.2989771366119385,0.0,0.3815743625164032,0.21637991070747375,0.47655004262924194,0.22068968415260315,0.3927464783191681,0.0,0.0,0.0,0.0,0.3719305992126465,0.05054188519716263,0.0,0.01694014109671116,0.02915305830538273,0.20235773921012878,,,0.0048581864684820175,0.008738829754292965,0.011370569467544556,0.00714010838419199,0.03638952970504761,0.0689658522605896,0.08801421523094177,1.0425339937210083,0.018497146666049957,,0.16271977126598358,0.0,0.0,0.15289978682994843,0.052603259682655334,0.0,0.0,,0.5543733835220337,0.09783121198415756,3.133144855382852e-05,0.15441876649856567,,0.4063159227371216,,1.0,1.1986682415008545,0.07904624193906784,0.0,1.5873015873015872,False,False,0.0,0.0,False,0,2,0,0,False,1,native_ergt,12011,1.0,0.09795930669102329,0.9910714285714286,0.0,0.9531835205992509,0.42857142857142855,False,1.0,0.9994747899159664,1.0,0,0.42857142857142855,0.0,1.0,0,False,,,100,False,1.0,,1.1986682415008545,,,,,0,False
,16301,,False,False,,6.905738830566406,0.7959183673469388,0.8979591836734694,0.0,,0.1645294725894928,0.15000000596046448,,0.49192315340042114,0.002624250017106533,,0.23003363609313965,0.8596270084381104,0.03551962599158287,1.2380167113690277e-08,,0.3448637127876282,0.08338659256696701,0.0,0.1034776046872139,0.06329558044672012,0.14296968281269073,0.06525687873363495,0.10532359033823013,0.0,0.0,0.0,0.0,0.2501380741596222,0.1487741619348526,0.0,0.01750284433364868,0.08425198495388031,0.20457938313484192,,,0.016672145575284958,0.003292819717898965,0.006563396193087101,0.009959559887647629,0.015389186330139637,0.027281418442726135,0.023136146366596222,0.42906585335731506,0.019928447902202606,,0.2530078887939453,0.0,0.0,0.18938879668712616,0.07373278588056564,0.0,0.0,,0.05007656291127205,0.07271895557641983,3.08965245494619e-05,0.0057897064834833145,,0.21328002214431763,,1.0,0.7235291004180908,0.04601290822029114,0.0,3.1746031746031744,False,False,0.0,0.0,False,0,2,0,0,False,3,native_ergt,12011,1.0,0.06933547199218908,1.0,0.0,0.9335205992509363,0.6326530612244898,False,1.0,1.0,1.0,0,0.7448979591836735,0.0,1.0,0,False,,,200,False,1.0,,0.7235291004180908,,,,,0,False
,16301,,False,False,,3.3785364627838135,0.7959183673469388,0.8571428571428571,0.0,,0.1791306585073471,0.15000000596046448,,0.3501981496810913,1.4945183465897571e-05,,0.18298189342021942,0.36983785033226013,0.019226087257266045,1.1842248071047834e-08,,0.2979829013347626,0.035445693880319595,0.0,0.03971294313669205,0.031178444623947144,0.052737317979335785,0.03194107115268707,0.04926548898220062,0.0,0.0,0.0,0.0,0.2009030133485794,0.1115296483039856,0.0,0.013121135532855988,0.06031426787376404,0.2273474633693695,,,0.0012102668406441808,0.009866849519312382,0.023678218945860863,0.0003704714181367308,0.03151639923453331,0.07705988734960556,0.045766763389110565,0.29279613494873047,0.008162601850926876,,0.0,0.01272977702319622,0.0,0.05105331540107727,0.010630516335368156,0.0,0.0,,0.02089918777346611,0.07346054166555405,3.5396471503190696e-05,0.24577057361602783,,0.15298591554164886,,1.0,0.47388917207717896,0.03660346195101738,0.0,4.761904761904762,False,False,0.0,0.0,False,0,2,0,0,False,4,native_ergt,12011,1.0,0.024835834119203832,1.0,0.0,1.0,0.6122448979591837,False,1.0,1.0,1.0,0,0.7244897959183674,0.0,1.0,0,False,,,300,False,1.0,,0.47388917207717896,,,,,0,False
,16301,,False,False,,1.7302583456039429,1.0,1.0,0.0,,0.313911110162735,0.15000000596046448,,0.0001883410441223532,0.0,,0.1272820085287094,0.2865487337112427,0.02255706675350666,1.224184220660618e-08,,0.15382330119609833,0.021705705672502518,0.0,0.025846462696790695,0.01756494864821434,0.035397157073020935,0.018963122740387917,0.028371727094054222,0.0,0.0,0.0,0.0,0.1510397344827652,0.16813835501670837,0.0,0.012454692274332047,0.09098661690950394,0.23888972401618958,,,0.0035443329252302647,0.0053106569685041904,0.0005778268096037209,9.300806414103135e-05,0.012795346789062023,0.03254121169447899,0.022002708166837692,0.1264842301607132,0.01381357666105032,,0.0,0.0,0.0,0.013113969936966896,0.0021856618113815784,0.0,0.0,,0.009682025760412216,0.061131831258535385,4.6078705054242164e-05,0.005804936867207289,,0.06464637815952301,,1.0,0.26418837904930115,0.025465620681643486,0.0,6.349206349206349,False,False,0.0,0.0,False,0,2,0,0,False,6,native_ergt,12011,1.0,0.012488534834501002,1.0,0.0,1.0,1.0,False,1.0,1.0,1.0,0,1.0,0.0,1.0,0,False,,,400,True,1.0,,0.26418837904930115,,,,,0,False
,16301,,False,False,,6.48671293258667,1.0,1.0,0.0,,0.11768343299627304,0.15000000596046448,,0.00989474542438984,1.82236672117142e-05,,0.19292575120925903,0.030303850769996643,0.026541048660874367,1.288500151019889e-08,,0.08348716050386429,0.022272508591413498,0.0,0.03063930571079254,0.013905709609389305,0.05036618188023567,0.01555227767676115,0.019425373524427414,0.0,0.0,0.0,0.0,0.160744771361351,0.1669767051935196,0.0,0.027829451486468315,0.09680637717247009,0.22942408919334412,,,0.006992538925260305,0.00076326634734869,0.0008283594506792724,0.013626347295939922,0.0237885769456625,0.0574556440114975,0.052903078496456146,0.08407647907733917,2.566624607425183e-05,,0.2298554927110672,0.0,0.0,0.11437080055475235,0.057371050119400024,0.0,0.0,,0.012787176296114922,0.10174226015806198,1.8405920855002478e-05,0.02345045655965805,,0.03535115718841553,,1.0,0.3230505883693695,0.038588833063840866,0.0,7.936507936507937,False,False,0.0,0.0,False,0,2,0,0,False,7,native_ergt,12011,1.0,0.014805462699704402,1.0,0.0,0.9925093632958801,1.0,False,1.0,1.0,1.0,0,1.0,0.0,1.0,0,False,,,500,True,1.0,,0.3230505883693695,,,,,0,False
,16301,,False,False,,1.5349400043487549,1.0,1.0,0.0,,0.11616184562444687,0.15000000596046448,,0.002014597412198782,0.0,,0.07869087159633636,0.009159434586763382,0.006900192238390446,1.1894906393195015e-08,,0.041293103247880936,0.007333432324230671,0.0,0.007960561662912369,0.006706302985548973,0.010931530967354774,0.0071493592113256454,0.010031147859990597,0.0,0.0,0.0,0.0,0.1638287603855133,0.050125718116760254,0.0,0.004773878026753664,0.027151431888341904,0.20057180523872375,,,0.002429340500384569,0.00044697540579363704,0.002133977599442005,1.6097535990411416e-05,0.01583702303469181,0.043387800455093384,0.030787022784352303,0.06407975405454636,0.0002159862342523411,,0.0,0.0,0.0,0.07716904580593109,0.012861507944762707,0.0,0.0,,0.004011439625173807,0.06688782572746277,4.313607860240154e-05,0.01196978148072958,,0.02555033378303051,,1.0,0.14759577810764313,0.01574680581688881,0.0,9.523809523809524,False,False,0.0,0.0,False,0,2,0,0,True,9,native_ergt,12011,1.0,0.005482020449549071,1.0,0.0,1.0,1.0,True,1.0,1.0,1.0,1,1.0,0.0,1.0,0,False,,,600,True,1.0,,0.14759577810764313,,,,,0,False
,16301,,True,True,700,0.6940010190010071,1.0,1.0,0.0,,0.8955367803573608,0.15000000596046448,,3.5762758443524945e-07,0.0,,0.06531310826539993,0.005330594256520271,0.001165202702395618,1.1375989927842056e-08,,0.0101495161652565,0.005801751744002104,0.0,0.007180932909250259,0.004422570578753948,0.010317046195268631,0.004616579972207546,0.00709385285153985,0.0,0.0,0.0,0.0,0.09750046581029892,0.0,0.0,0.0,0.0,0.0,,,0.0005657719448208809,7.047162944218144e-05,0.00018769815505947918,2.426150422252249e-05,0.016412636265158653,0.06236673891544342,0.018872497603297234,0.03036191686987877,1.9868213740892315e-08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.002880050567910075,0.0708683505654335,5.0032736908178777e-05,0.004597345367074013,,0.013159509748220444,,1.0,0.20234154164791107,0.013072631321847439,0.0,11.11111111111111,False,False,0.0,0.0,False,0,2,0,0,True,11,native_ergt,12011,1.0,0.00582322623399313,1.0,0.0,1.0,1.0,True,1.0,1.0,1.0,2,1.0,0.0,1.0,0,False,,,700,True,1.0,,0.20234154164791107,,,,,0,False
,16301,,True,True,700,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11111111111111,True,True,1.0,1.0,True,12,2,2,2,True,11,native_ergt,12011,1.0,0.00582322623399313,1.0,0.0,1.0,1.0,True,1.0,1.0,1.0,2,1.0,0.0,1.0,1,True,,,701,True,0.0,,0.0,,,,,0,True
,16301,,True,True,700,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11111111111111,True,True,1.0,1.0,True,12,2,2,2,True,11,native_ergt,12011,1.0,0.00582322623399313,1.0,0.0,1.0,1.0,True,1.0,1.0,1.0,2,1.0,0.0,1.0,2,True,,,702,True,0.0,,0.0,,,,,0,True
